Contributor	X	Y	Z	n	s	sl
Cubes71	-44	35	35	566	9	1
Cubes71	9	-1	0	728	9	2
Cubes71	10	-2	-1	991	9	2
Cubes71	41	-33	-32	216	9	2
Cubes71	9	-2	0	721	9	3
Cubes71	10	-3	-1	972	9	3
Cubes71	38	-31	-29	692	9	3
Cubes71	-39	32	30	449	9	3
Cubes71	9	-3	0	702	9	4
Cubes71	10	-4	-1	935	9	4
Cubes71	35	-29	-26	910	9	4
Cubes71	-36	30	27	27	9	4
Cubes71	9	-4	0	665	9	5
Cubes71	10	-5	-1	874	9	5
Cubes71	32	-27	-23	918	9	5
Cubes71	33	-28	-24	161	9	5
Cubes71	-34	29	25	710	9	5
Cubes71	9	-5	0	604	9	6
Cubes71	10	-6	-1	783	9	6
Cubes71	11	-7	-2	980	9	6
Cubes71	29	-25	-20	764	9	6
Cubes71	30	-26	-21	163	9	6
Cubes71	-31	27	22	540	9	6
Cubes71	9	-6	0	513	9	7
Cubes71	10	-7	-1	656	9	7
Cubes71	11	-8	-2	811	9	7
Cubes71	12	-9	-3	972	9	7
Cubes71	25	-22	-16	881	9	7
Cubes71	26	-23	-17	496	9	7
Cubes71	27	-24	-18	27	9	7
Cubes71	-28	25	19	532	9	7
Cubes71	9	-7	0	386	9	8
Cubes71	10	-8	-1	487	9	8
Cubes71	11	-9	-2	594	9	8
Cubes71	12	-10	-3	701	9	8
Cubes71	13	-11	-4	802	9	8
Cubes71	14	-12	-5	891	9	8
Cubes71	15	-13	-6	962	9	8
Cubes71	19	-17	-10	946	9	8
Cubes71	20	-18	-11	837	9	8
Cubes71	21	-19	-12	674	9	8
Cubes71	22	-20	-13	451	9	8
Cubes71	23	-21	-14	162	9	8
Cubes71	-24	22	15	199	9	8
Cubes71	-25	23	16	638	9	8
Cubes71	9	-8	0	217	9	9
Cubes71	10	-9	-1	270	9	9
Cubes71	11	-10	-2	323	9	9
Cubes71	12	-11	-3	370	9	9
Cubes71	13	-12	-4	405	9	9
Cubes71	14	-13	-5	422	9	9
Cubes71	15	-14	-6	415	9	9
Cubes71	16	-15	-7	378	9	9
Cubes71	17	-16	-8	305	9	9
Cubes71	18	-17	-9	190	9	9
Cubes71	19	-18	-10	27	9	9
Cubes71	-20	19	11	190	9	9
Cubes71	-21	20	12	467	9	9
Cubes71	-22	21	13	810	9	9
Cubes71	48	-38	-38	848	10	1
Cubes71	-49	39	39	989	10	1
Cubes71	10	-1	0	999	10	2
Cubes71	46	-37	-36	27	10	2
Cubes71	10	-2	0	992	10	3
Cubes71	43	-35	-33	695	10	3
Cubes71	-44	36	34	776	10	3
Cubes71	10	-3	0	973	10	4
Cubes71	-41	34	31	174	10	4
Cubes71	10	-4	0	936	10	5
Cubes71	38	-32	-28	152	10	5
Cubes71	10	-5	0	875	10	6
Cubes71	35	-30	-25	250	10	6
Cubes71	-36	31	26	711	10	6
Cubes71	10	-6	0	784	10	7
Cubes71	11	-7	-1	987	10	7
Cubes71	31	-27	-21	847	10	7
Cubes71	32	-28	-22	168	10	7
Cubes71	-33	29	23	619	10	7
Cubes71	10	-7	0	657	10	8
Cubes71	11	-8	-1	818	10	8
Cubes71	12	-9	-2	991	10	8
Cubes71	27	-24	-17	946	10	8
Cubes71	28	-25	-18	495	10	8
Cubes71	-29	26	19	46	10	8
Cubes71	-30	27	20	683	10	8
Cubes71	10	-8	0	488	10	9
Cubes71	11	-9	-1	601	10	9
Cubes71	12	-10	-2	720	10	9
Cubes71	13	-11	-3	839	10	9
Cubes71	14	-12	-4	952	10	9
Cubes71	22	-20	-12	920	10	9
Cubes71	23	-21	-13	709	10	9
Cubes71	24	-22	-14	432	10	9
Cubes71	25	-23	-15	83	10	9
Cubes71	-26	24	16	344	10	9
Cubes71	-27	25	17	855	10	9
Cubes71	10	-9	0	271	10	10
Cubes71	11	-10	-1	330	10	10
Cubes71	12	-11	-2	389	10	10
Cubes71	13	-12	-3	442	10	10
Cubes71	14	-13	-4	483	10	10
Cubes71	15	-14	-5	506	10	10
Cubes71	16	-15	-6	505	10	10
Cubes71	17	-16	-7	474	10	10
Cubes71	18	-17	-8	407	10	10
Cubes71	19	-18	-9	298	10	10
Cubes71	20	-19	-10	141	10	10
Cubes71	-21	20	11	70	10	10
Cubes71	-22	21	12	341	10	10
Cubes71	-23	22	13	678	10	10
Cubes71	53	-42	-42	701	11	1
Cubes71	-51	41	40	270	11	2
Cubes71	48	-39	-37	620	11	3
Cubes71	-46	38	35	411	11	4
Cubes71	43	-36	-32	83	11	5
Cubes71	40	-34	-29	307	11	6
Cubes71	-41	35	30	954	11	6
Cubes71	37	-32	-26	309	11	7
Cubes71	-38	33	27	748	11	7
Cubes71	11	-7	0	988	11	8
Cubes71	33	-29	-22	900	11	8
Cubes71	34	-30	-23	137	11	8
Cubes71	-35	31	24	740	11	8
Cubes71	11	-8	0	819	11	9
Cubes71	12	-9	-1	998	11	9
Cubes71	29	-26	-18	981	11	9
